student_id,semester,attendance_pct,internal_pct,practical_pct,assignments_submitted,previous_sgpa,backlog_count,average_marks,consistency,improvement_rate,final_percentage,at_risk
SYN0001,5,72.29,59.02,50.69,6,6.0,0,54.78,3.4,-4.49,54.73,0
SYN0002,7,62.62,43.24,45.67,3,0.0,0,44.56,1.0,19.48,44.65,0
SYN0003,4,95.66,57.93,43.89,7,8.0,0,52.79,6.32,-20.29,54.29,0
SYN0004,7,98.77,77.11,63.96,7,7.0,0,66.18,8.17,-0.04,62.69,0
SYN0005,6,50.63,27.25,51.05,2,0.0,1,35.86,10.77,-3.59,33.23,1
SYN0006,2,58.2,60.3,41.89,3,0.0,1,37.7,20.38,0.32,26.98,1
SYN0007,5,81.32,51.17,47.49,9,6.0,0,52.63,4.9,-4.56,55.27,0
SYN0008,3,59.4,36.39,41.43,5,0.0,0,41.84,4.62,29.33,44.18,0
SYN0009,5,73.12,52.74,45.61,4,7.0,0,50.05,3.16,-10.67,50.76,0
SYN0010,4,61.2,33.25,38.63,3,5.0,0,41.88,8.68,3.42,46.63,0
SYN0011,7,82.27,53.12,55.29,7,5.0,0,48.36,8.32,-3.5,43.68,0
SYN0012,8,70.89,63.64,68.47,7,7.0,0,55.76,14.69,-17.07,47.53,0
SYN0013,5,56.68,58.39,31.92,6,6.0,0,48.72,11.92,-0.65,51.57,0
SYN0014,5,63.37,56.8,71.51,8,6.0,0,64.41,6.01,14.45,64.62,0
SYN0015,6,65.11,66.56,50.99,5,6.0,0,58.96,6.36,0.82,59.1,0
SYN0016,6,57.24,55.53,45.51,5,5.0,0,45.41,8.31,-5.42,41.32,0
SYN0017,6,71.5,70.1,41.74,5,7.0,0,58.8,12.28,0.16,61.11,0
SYN0018,7,77.76,48.29,54.94,3,5.0,0,51.78,2.73,11.27,51.92,0
SYN0019,8,89.39,74.27,73.14,6,7.0,0,71.91,2.57,7.04,70.48,0
SYN0020,7,61.12,32.91,60.34,4,0.0,0,46.92,11.2,12.02,47.16,0
